"caseid"	"gender"	"age"	"race"	"education"	"income"	"HomeOwner"	"PrimTurnout"	"turnout2008"	"votes2008"	"turnout2004"	"votes2004"	"UsualVoter"	"religion"	"married"	"PartyID"	"Ideology"	"GayMarriage"	"UllamAppove"	"OuterLike"	"InnerLike"	"VonNeumann"	"Clinton"	"Hastings"	"Rosenbluth"	"Ullam"	"Best"	"TotPop"
"ID31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID33"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID38"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID39"	23627	1	48	1	3	10	1	2	1	1	2	2	1	5	1	6	6	1	-1	-0.5	0	0.5	-0.5	-0.333333333333333	0	-0.5	0	1
"ID40"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID41"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID43"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID45"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID46"	20308	2	62	1	4	10	1	2	1	2	2	1	1	5	4	1	2	1	-1	0	-1	-0.5	-1	0.5	0	-1	0	1
"ID47"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID49"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID50"	10796	1	52	4	5	18	1	1	1	2	2	1	1	5	1	5	6	3	-1	0	-1	-0.5	0.5	0	0	-1	0	1
"ID51"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID54"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID55"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID56"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID57"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID59"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID60"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID61"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID63"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID64"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID65"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID66"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID67"	24460	2	50	2	4	14	1	2	1	1	2	1	1	1	1	5	6	1	0	0.333333333333333	0	0.333333333333333	0.5	1	0	0.333333333333333	0.5	1
"ID68"	16186	1.5	48	1	3	11	1	1.5	1	1.5	1.5	2.5	1	3	1	4	6.5	1	-0.166666666666666	-0.25	0.25	0.5	-0.5	0	0	-0.0833333333333335	0.25	2
"ID69"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID71"	7127.66666666667	1.66666666666667	44	1	3	10.6666666666667	1	1.33333333333333	1	1.33333333333333	1.66666666666667	2	1	3.66666666666667	1.33333333333333	3.33333333333333	6	1.66666666666667	0	-0.666666666666667	0.277777777777778	0.111111111111111	-0.666666666666667	-0.166666666666667	0.111111111111111	0	0.611111111111111	3
"ID72"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID73"	11034	1	55.5	1	3.5	11.5	1	2	1	1.5	2	1.5	1	2.5	2.5	2.5	5	2.5	-1	0.25	-0.25	0.25	0	0.25	0	-0.75	0	2
"ID74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID75"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID76"	8524	2	58	1	5	14	1	2	1	1	2	2	1	2	6	6	7	1	-1	0	0	0	-0.333333333333333	0	0	0	0	1
"ID77"	11384	2	40	1	5	15	1	1	1	1	2	2	1	1	1	5	6	1	0	0	0.5	0.5	-0.333333333333333	0.5	0	0.5	1	1
"ID78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID79"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID80"	13575.5	1.5	70	1	2.5	10	1	1	1	1.5	2	1.5	1	1.5	1	3.5	5	1	-0.166666666666666	-0.25	0.5	0.5	-0.25	0	0	-0.5	0.5	2
"ID81"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID82"	650	2	52	1	4	17	1	1	1	2	2	1	1	2	1	0	4	3	-1	1	-1	0	1	0.5	-1	-1	-1	1
"ID83"	11716.5	1.75	58.5	2.5	3	15.25	1	1.25	1	1.75	1.75	1.25	1.5	1.25	1	1.75	5	2.25	-0.625	0.708333333333333	-0.25	0.166666666666667	0.375	0.75	0.5	-0.375	-0.125	4
"ID84"	14109.3333333333	1.33333333333333	47	1	4	18	1.33333333333333	1.66666666666667	1	1.66666666666667	2	2	1	1.66666666666667	2.33333333333333	4.66666666666667	5.66666666666667	1	-0.666666666666667	-0.5	0.5	0.166666666666667	0.5	0	-0.166666666666667	-0.666666666666667	0.5	3
"ID85"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID86"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID88"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID89"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID91"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID92"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID93"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID94"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID95"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID97"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID98"	17330	2	76	1	3	11	1	2	1	1	2	2	1	1	1	5	7	2	0	-0.5	0	0	0.333333333333333	-1	0	-0.333333333333333	0	1
"ID99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID100"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID101"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID102"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID103"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID104"	6970	2	77	1	3	11	1	2	1	2	2	1	1	2	2	0	5	2	0	1	-0.5	0	1	0	0	0	0	1
"ID105"	8174	2	60.5	1	3.5	11	1	1	1	1.5	1.5	1.5	1	1.5	2	4	6	2	0.25	0.5	0.25	0.25	-0.25	0.25	-0.166666666666666	0.416666666666667	0.5	2
"ID106"	13911	1	73	1	2	11	1	2	1	2	2	1	1	1	1	0	1	2	-1	1	-0.5	0.5	1	0	0	-1	-1	1
"ID107"	15439	2	29	1	4	11	1	1	2	2	1	2	2	2	6	4	5	2	0	-0.333333333333333	1	0.5	-1	0	0	0.5	1	1
"ID108"	12370	1.5	65.5	1	2.5	10.5	1	2	1	1	2	2	1	1.5	1.5	5.5	4	3	0	-0.25	1	0.5	-0.25	0.75	0	0.25	0	2
"ID109"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID110"	2211	1	48	1	4	9	1	2	1	1	2	3	1	1	6	6	6	1	0.5	-1	-0.5	0	-1	-1	-0.5	0.5	0	1
"ID111"	19952	2	65	1	2	10	1	1	1	1	2	1	1	1	1	5	6	2	-0.333333333333333	0	0	0	0	0	-0.5	-0.5	0	1
"ID112"	16400	1	38	1	2	11	1	1	1	1	2	2	1	5	1	5	6	1	0.5	0	0.5	0	0	0	0	0	0	1
"ID113"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID114"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID115"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID116"	13671.75	1.25	71	1.5	3.75	17	1	1.5	1	1.5	2	1.5	1	1.5	1.5	3	5.25	2.25	-0.25	0.25	-0.125	0.25	0.5	0.708333333333333	-0.25	-0.25	-0.25	4
"ID117"	17750.75	1	65.5	1	4	18.5	1	1.25	1.25	1.5	2	1.5	1.25	2.25	1.75	2.75	4.75	1.75	-0.583333333333333	0.25	-0.416666666666667	0	-0.375	0.458333333333333	0	-0.416666666666667	0.0833333333333332	4
"ID118"	13545	1.33333333333333	65.5	1.25	4	17.3333333333333	1.08333333333333	1.66666666666667	1	1.75	1.91666666666667	1.5	1	2.16666666666667	2.16666666666667	2	3.41666666666667	1.75	-0.666666666666667	0.305555555555556	-0.666666666666667	0.0416666666666668	0.347222222222222	0.527777777777778	0.291666666666667	-0.625	-0.416666666666667	12
"ID119"	12314.2727272727	1.54545454545455	57.3636363636364	1.27272727272727	4.27272727272727	16.6363636363636	1.18181818181818	1.54545454545455	1	1.45454545454545	2	1.63636363636364	1.09090909090909	1.81818181818182	1.36363636363636	3.54545454545455	4.54545454545455	1.36363636363636	-0.378787878787879	0.0909090909090909	0.0454545454545455	-0.0757575757575757	0.0606060606060606	0.121212121212121	0.0606060606060606	-0.181818181818182	0.409090909090909	11
"ID120"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID121"	21920	1	37	4	5	19	1	1	2	2	1	1	2	2	1	5	2	1	0	0	0	0	0.5	0	0	0	-0.333333333333333	1
"ID122"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID123"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID124"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID126"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID127"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID128"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID129"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID130"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID131"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID133"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID134"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID135"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID136"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID137"	6449	1.33333333333333	37.3333333333333	1	3	11.3333333333333	1	1	1	1.33333333333333	2	1.66666666666667	1.33333333333333	2.66666666666667	2.33333333333333	3	3.33333333333333	1.66666666666667	0.111111111111111	0	0.333333333333333	0.0555555555555557	-0.5	-0.0555555555555557	-0.166666666666667	0.166666666666667	0.833333333333333	3
"ID138"	10137	1	50	1	4	16	1	2	1	1	2	2	1	2	1	6	6	1	0.5	-0.5	1	1	-1	0.5	0.333333333333333	1	1	1
"ID139"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID140"	9672.33333333333	1	71.6666666666667	1	4.33333333333333	11.3333333333333	1	1.33333333333333	1	2	1.66666666666667	2	1	1.33333333333333	2.33333333333333	1.66666666666667	4	3	-0.777777777777778	0.333333333333333	-1	0.0555555555555557	0.666666666666667	0.5	0.166666666666667	-0.833333333333333	0	3
"ID141"	6906	1.5	43	1	3	10.5	1	1.5	1.5	1.5	2	2	1	1	2.5	4	4.5	1	-0.25	-0.25	0.25	0.416666666666667	-0.75	-0.166666666666666	0	0.166666666666666	0.5	2
"ID142"	7667	1.5	61	1	3	9.5	1	1	1	1.5	2	2	1	1	4.5	2.5	3	1.5	-0.5	0.166666666666666	-0.25	0.25	-0.5	-0.25	0.25	-0.5	-0.416666666666667	2
"ID143"	16398.6666666667	1	63.3333333333333	1	2.66666666666667	10	1	2	1	1.33333333333333	2	1.33333333333333	1.33333333333333	1.33333333333333	1	3.33333333333333	3.66666666666667	2	0	-0.166666666666667	0.166666666666667	0	0.333333333333333	-0.388888888888889	0.333333333333333	0	0.277777777777778	3
"ID144"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID145"	7537.5	2	46.5	1	3	14.5	1	1.5	1.5	2	1.5	1	1.5	1	1	1.5	3.5	2.5	-1	0.5	-0.5	0.5	0.75	0.25	0	-0.666666666666667	0	2
"ID146"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"ID147"	16220	1	31	1	3	10	1	2	1	2	2	1	1	1	4	0	4	1	-0.5	0.5	0	0	-0.5	0.5	0	-1	0	1
